jet_times,brst_start_datetime_closest,brst_end_datetime_closest,time_interval_start,time_interval_end
2015-09-02 16:41:24.189000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,0.189,-83286238.811
2015-09-02 16:48:44.145000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,440.145,-83285798.855
2015-09-02 16:52:14.148000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,650.148,-83285588.852
2015-09-02 16:58:44.153000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1040.153,-83285198.847
2015-09-03 17:23:54.199000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,88950.199,-83197288.801
2015-09-07 13:49:14.182000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,421670.182,-82864568.818
2015-09-07 13:55:54.088000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,422070.088,-82864168.912
2015-09-07 13:44:34.129000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,421390.129,-82864848.871
2015-09-07 17:01:24.089000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,433200.089,-82853038.911
2015-09-07 13:59:34.141000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,422290.141,-82863948.859
2015-09-07 14:03:34.144000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,422530.144,-82863708.856
2015-09-08 10:40:24.103000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,496740.103,-82789498.897
2015-09-08 17:56:34.196000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,522910.196,-82763328.804
2015-09-09 13:51:34.089000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,594610.089,-82691628.911
2015-09-09 13:52:54.191000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,594690.191,-82691548.809
2015-09-09 13:53:54.191000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,594750.191,-82691488.809
2015-09-09 13:57:34.094000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,594970.094,-82691268.906
2015-09-09 14:00:14.147000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,595130.147,-82691108.853
2015-09-09 14:03:54.200000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,595350.2,-82690888.8
2015-09-09 14:05:54.201000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,595470.201,-82690768.799
2015-09-09 14:08:24.203000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,595620.203,-82690618.797
2015-09-09 14:09:44.154000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,595700.154,-82690538.846
2015-09-09 14:11:14.156000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,595790.156,-82690448.844
2015-09-09 14:16:04.109000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,596080.109,-82690158.891
2015-09-09 18:49:54.133000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,612510.133,-82673728.867
2015-09-09 18:54:04.187000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,612760.187,-82673478.813
2015-09-09 19:00:04.192000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,613120.192,-82673118.808
2015-09-11 09:45:24.122000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,752640.122,-82533598.878
2015-09-11 08:21:04.107000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,747580.107,-82538658.893
2015-09-11 11:42:44.166000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,759680.166,-82526558.834
2015-09-11 15:08:24.083000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,772020.083,-82514218.917
2015-09-11 16:09:54.133000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,775710.133,-82510528.867
2015-09-11 16:12:44.085000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,775880.085,-82510358.915
2015-09-11 16:15:24.138000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,776040.138,-82510198.862
2015-09-11 16:17:24.139000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,776160.139,-82510078.861
2015-09-11 16:19:34.191000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,776290.191,-82509948.809
2015-09-11 16:24:04.195000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,776560.195,-82509678.805
2015-09-13 15:03:34.103000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,944530.103,-82341708.897
2015-09-13 11:08:44.111000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,930440.111,-82355798.889
2015-09-14 10:00:54.149000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1012770.149,-82273468.851
2015-09-14 15:51:04.175000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1033780.175,-82252458.825
2015-09-14 15:37:34.164000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1032970.164,-82253268.836
2015-09-14 15:48:14.223000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1033610.223,-82252628.777
2015-09-14 15:43:34.169000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1033330.169,-82252908.831
2015-09-15 11:40:24.175000+00:00,2015-09-02 16:41:24+00:00,2018-04-23 15:45:23+00:00,1105140.175,-82181098.825
