DATASEGMENTID,TAISTARTTIME (TAI seconds since 1958-01-01),TAIENDTIME (TAI seconds since 1958-01-01),PARAMETERSETID,FOM,ISPENDING,INPLAYLIST,STATUS,NUMEVALCYCLES,SOURCEID,CREATETIME,FINISHTIME,OBS1NUMBUFS,OBS2NUMBUFS,OBS3NUMBUFS,OBS4NUMBUFS,OBS1ALLOCBUFS,OBS2ALLOCBUFS,OBS3ALLOCBUFS,OBS4ALLOCBUFS,OBS1REMFILES,OBS2REMFILES,OBS3REMFILES,OBS4REMFILES,DISCUSSION
92213,2040969260,2040969390,Revision: 1.10 ; parm_set: Revision: 1.121,80.0,0,0,DERELICT+INCOMPLETE+FINISHED,1530250,moka(EVA),2022-09-06 16:40:25,2023-08-13 17:55:09,14,14,14,14,14,0,14,14,0,14,0,0,energetic PSBL ions
92214,2040969400,2040969540,Revision: 1.10 ; parm_set: Revision: 1.121,80.0,0,0,DERELICT+INCOMPLETE+FINISHED,1520250,moka(EVA),2022-09-06 16:40:25,2023-08-13 17:55:09,15,15,15,15,15,0,15,15,0,15,0,0,energetic PSBL ions
95050,2052551750,2052551850,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70134,stoledo(EVA),2023-01-18 13:15:11,2023-07-18 15:45:15,11,11,11,11,11,11,11,11,0,0,0,0,Possible HFAs
95051,2052551860,2052551960,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,70134,stoledo(EVA),2023-01-18 13:15:11,2023-07-18 15:45:15,11,11,11,11,11,11,11,11,0,0,0,0,Possible HFAs
95052,2052551970,2052552070,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:11,2023-07-18 15:50:15,11,11,11,11,11,11,11,11,0,0,0,0,Possible HFAs
95063,2052554450,2052554500,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:12,2023-07-18 15:50:15,6,6,6,6,6,6,6,6,0,0,0,0,Magnetosheath flux rope
95064,2052563720,2052563830,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:12,2023-07-18 15:50:15,12,12,12,12,12,12,12,12,0,0,0,0,Partial MP crossings
95065,2052563840,2052563960,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:12,2023-07-18 15:55:14,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95066,2052563970,2052564080,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:12,2023-07-18 16:00:12,12,12,12,12,12,12,12,12,0,0,0,0,Partial MP crossings
95067,2052564090,2052564210,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:12,2023-07-18 16:05:13,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95068,2052564610,2052564730,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,50134,stoledo(EVA),2023-01-18 13:15:12,2023-07-18 16:10:11,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95069,2052564740,2052564860,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60135,stoledo(EVA),2023-01-18 13:15:12,2023-07-21 20:30:13,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95070,2052564870,2052564990,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60135,stoledo(EVA),2023-01-18 13:15:12,2023-07-21 20:35:16,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95071,2052565000,2052565120,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60135,stoledo(EVA),2023-01-18 13:15:12,2023-07-21 20:40:12,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95072,2052565130,2052565250,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60135,stoledo(EVA),2023-01-18 13:15:12,2023-07-21 20:40:12,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95073,2052565260,2052565380,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60135,stoledo(EVA),2023-01-18 13:15:12,2023-07-21 20:45:16,13,13,13,13,13,13,13,13,0,0,0,0,Partial MP crossings
95162,2052861610,2052861860,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60132,wsun(EVA),2023-01-21 17:25:11,2023-07-21 20:50:18,26,26,26,26,26,26,26,26,0,0,0,0,Messy partial magnetopause crossing
95163,2052862680,2052862920,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60132,wsun(EVA),2023-01-21 17:25:11,2023-07-21 20:55:16,25,25,25,25,25,25,25,25,0,0,0,0,Messy partial magnetopause crossing
95164,2052863570,2052863700,Revision: 1.10 ; parm_set: Revision: 1.121,100.0,0,0,COMPLETE+FINISHED,60132,wsun(EVA),2023-01-21 17:25:11,2023-07-21 20:55:16,14,14,14,14,14,14,14,14,0,0,0,0,Possible FTEs in the magnetosphere side
